Name,Package,Tags,Score,Developers,Version,MD5,Download_URL
酷音铃声,com.iflytek.ringdiyclient,手机彩铃,4.7,科大讯飞股份有限公司,7.5.70,98C24C5E3C374638E8F080B4AD49B29D,https://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/98C24C5E3C374638E8F080B4AD49B29D.apk?fsname=com.iflytek.ringdiyclient_7.5.70.apk
影视大全,com.le123.ysdq,综合视频,4.4,金华锦尚科技有限公司,6.1.0,0C0E0CA6862220FF7D3A66F1FA611463,https://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/0C0E0CA6862220FF7D3A66F1FA611463.apk?fsname=com.le123.ysdq_6.1.0.apk
蜻蜓FM,fm.qingting.qtradio,听书/有声书,4.5,上海麦克风文化传媒有限公司,10.7.4,9067E945160FD17E68F3E8AABE85FA2C,https://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/9067E945160FD17E68F3E8AABE85FA2C.apk?fsname=fm.qingting.qtradio_10.7.4.apk
天气通,sina.mobile.tianqitong,天气,4.6,北京微梦创科技术有限公司,9.06,340B663FEF5F32D13B996A3F742739B5,https://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/340B663FEF5F32D13B996A3F742739B5.apk?fsname=sina.mobile.tianqitong_9.06.apk
苏宁易购,com.suning.mobile.ebuy,综合商城,3.6,深圳市云网万店电子商务有限公司,9.5.190,F64603C88448076D989366CD3AFEE807,https://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/F64603C88448076D989366CD3AFEE807.apk?fsname=com.suning.mobile.ebuy_9.5.190.apk
中国电信,com.ct.client,营业厅,4.5,中国电信股份有限公司全渠道运营中心,11.6.0,B645EADEC21D86A241166F38E94E56D8,https://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/B645EADEC21D86A241166F38E94E56D8.apk?fsname=com.ct.client_11.6.0.apk
新浪新闻,com.sina.news,综合资讯,3.4,北京新浪互联信息服务有限公司,8.38.0,A4EBE3D2BEFB4045CF5F0B13298ABD3F,https://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/A4EBE3D2BEFB4045CF5F0B13298ABD3F.apk?fsname=com.sina.news_8.38.0.apk
转转,com.wuba.zhuanzhuan,综合二手商城,4.4,北京转转精神科技有限责任公司,11.5.0,90F9AFAB365FCFE02826A7F91743DDB8,https://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/90F9AFAB365FCFE02826A7F91743DDB8.apk?fsname=com.wuba.zhuanzhuan_11.5.0.apk
腾讯相册管家,com.tencent.gallerymanager,图库相册,4.7,深圳市腾讯计算机系统有限公司,5.1.14,A0F22614BD3133F6E850935CD52EB01D,https://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/A0F22614BD3133F6E850935CD52EB01D.apk?fsname=com.tencent.gallerymanager_5.1.14.apk
万能空调遥控器,com.airuniversa.control,遥控器,2.1,搜哈网络科技（厦门）有限公司,1.4.1,17AD1CEE4CDA3ADFCEAB261BEF9028B8,https://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/17AD1CEE4CDA3ADFCEAB261BEF9028B8.apk?fsname=com.airuniversa.control_1.4.1.apk
知乎,com.zhihu.android,轻阅读,3.4,北京智者天下科技有限公司,10.34.0,79F1DD9B6AE4C3A7BB04DDECA0A53631,https://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/79F1DD9B6AE4C3A7BB04DDECA0A53631.apk?fsname=com.zhihu.android_10.34.0.apk
Keep,com.gotokeep.keep,减脂瘦身,4.1,北京卡路里科技有限公司,8.3.70,255125B2970ED4A2D68365F485B287CC,https://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/255125B2970ED4A2D68365F485B287CC.apk?fsname=com.gotokeep.keep_8.3.70.apk
